country,Clade,cases,deaths,cases_category,deaths_category,data_as_of,
Jersey,Not reported,0,0,0,0,09-Oct-24,
Jordan,Clade II,1,0,01-Oct,0,09-Oct-24,
Kazakhstan,Not reported,0,0,0,0,09-Oct-24,
Kenya,Clade I,5,0,01-Oct,0,09-Oct-24,
Kiribati,Not reported,0,0,0,0,09-Oct-24,
Kosovo,Not reported,0,0,0,0,09-Oct-24,
Kuwait,Not reported,0,0,0,0,09-Oct-24,
Kyrgyzstan,Not reported,0,0,0,0,09-Oct-24,
Laos,Not reported,0,0,0,0,09-Oct-24,
Latvia,Not reported,0,0,0,0,09-Oct-24,
Lebanon,Not reported,0,0,0,0,09-Oct-24,
Lesotho,Not reported,0,0,0,0,09-Oct-24,
Liberia,Clade Unknown,11,0,Nov-25,0,09-Oct-24,
Libya,Not reported,0,0,0,0,09-Oct-24,
Liechtenstein,Not reported,0,0,0,0,09-Oct-24,
Lithuania,Not reported,0,0,0,0,09-Oct-24,
Luxembourg,Clade II,1,0,01-Oct,0,09-Oct-24,
Macao,Clade II,1,0,0,0,09-Oct-24,
Madagascar,Not reported,0,0,0,0,09-Oct-24,
Malawi,Not reported,0,0,0,0,09-Oct-24,
Malaysia,Not reported,0,0,0,0,09-Oct-24,
Maldives,Not reported,0,0,0,0,09-Oct-24,
Mali,Not reported,0,0,0,0,09-Oct-24,
Malta,Clade II,2,0,01-Oct,0,09-Oct-24,
Marshall Islands,Not reported,0,0,0,0,09-Oct-24,
Martinique,Not reported,0,0,0,0,09-Oct-24,
Mauritania,Not reported,0,0,0,0,09-Oct-24,
Mauritius,Not reported,0,0,0,0,09-Oct-24,
Mayotte,Not reported,0,0,0,0,09-Oct-24,
Mexico,Clade II,76,1,26 - 100,01-Oct,09-Oct-24,
Micronesia,Not reported,0,0,0,0,09-Oct-24,
Moldova,Not reported,0,0,0,0,09-Oct-24,
Monaco,Not reported,0,0,0,0,09-Oct-24,
Mongolia,Not reported,0,0,0,0,09-Oct-24,
Montenegro,Not reported,0,0,0,0,09-Oct-24,
Montserrat,Not reported,0,0,0,0,09-Oct-24,
Morocco,Clade II,2,0,01-Oct,0,09-Oct-24,
Mozambique,Not reported,0,0,0,0,09-Oct-24,
Namibia,Not reported,0,0,0,0,09-Oct-24,
Nauru,Not reported,0,0,0,0,09-Oct-24,
Nepal,Not reported,0,0,0,0,09-Oct-24,
Netherlands,Clade II,40,0,26 - 100,0,09-Oct-24,
New Caledonia,Not reported,0,0,0,0,09-Oct-24,
New Zealand,Clade II,11,0,Nov-25,0,09-Oct-24,
Nicaragua,Not reported,0,0,0,0,09-Oct-24,
Niger,Not reported,0,0,0,0,09-Oct-24,
Nigeria,Clade II,55,0,26 - 100,0,09-Oct-24,
Niue,Not reported,0,0,0,0,09-Oct-24,
North Korea,Not reported,0,0,0,0,09-Oct-24,
North Macedonia,Not reported,0,0,0,0,09-Oct-24,
Northern Mariana Islands,Not reported,0,0,0,0,09-Oct-24,
Norway,Clade II,5,0,01-Oct,0,09-Oct-24,
Oman,Not reported,0,0,0,0,09-Oct-24,
Pakistan,Clade II,2,1,01-Oct,01-Oct,09-Oct-24,
Palau,Not reported,0,0,0,0,09-Oct-24,
Panama,Clade II,4,0,01-Oct,0,09-Oct-24,
Papua New Guinea,Not reported,0,0,0,0,09-Oct-24,
Paraguay,Not reported,0,0,0,0,09-Oct-24,
Peru,Clade II,80,3,26 - 100,01-Oct,09-Oct-24,
Philippines,Clade II,8,0,01-Oct,0,09-Oct-24,
Pitcairn,Not reported,0,0,0,0,09-Oct-24,
Poland,Clade II,8,0,01-Oct,0,09-Oct-24,
Portugal,Clade II,44,1,26 - 100,01-Oct,09-Oct-24,
Puerto Rico,Not reported,0,0,0,0,09-Oct-24,
Qatar,Not reported,0,0,0,0,09-Oct-24,
Romania,Clade II,1,0,01-Oct,0,09-Oct-24,
Russia,Clade II,2,0,01-Oct,0,09-Oct-24,
Rwanda,Clade I,4,0,01-Oct,0,09-Oct-24,
R̩union,Not reported,0,0,0,0,09-Oct-24,
Saint Barth̩lemy,Not reported,0,0,0,0,09-Oct-24,
Saint Helena,Not reported,0,0,0,0,09-Oct-24,
Saint Kitts and Nevis,Not reported,0,0,0,0,09-Oct-24,
Saint Lucia,Not reported,0,0,0,0,09-Oct-24,
